time,promoter_35S,promoter_19S,gene_P5,gene_P4,gene_P6,gene_P1,untracked_large,gene_P3,gene_P2
0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
1.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
2.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
3.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
4.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
5.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
6.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
7.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
8.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
9.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
10.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
11.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
12.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
13.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
14.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
15.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
16.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
17.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
18.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
19.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
20.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
21.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
22.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
23.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
24.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
25.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
26.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
27.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
28.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
29.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
30.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
31.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
32.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
33.0,1000,1000,1000,1000,1000,1000,1000,1000,1000
34.0,1000,1000,1000,1000,999,1000,1000,1000,1000
35.0,1000,1000,1000,1000,999,1000,1000,1000,1000
36.0,1000,1000,1000,1000,999,1000,1000,1000,1000
37.0,1000,1000,1000,1000,999,1000,1000,1000,1000
38.0,1000,1000,1000,1000,999,1000,1000,1000,1000
39.0,1000,1000,1000,1000,999,1000,1000,1000,1000
40.0,1000,1000,1000,1000,999,1000,1000,1000,1000
41.0,1000,1000,1000,1000,999,1000,1000,1000,1000
42.0,1000,1000,1000,1000,999,1000,1000,1000,1000
43.0,1000,1000,1000,1000,999,1000,1000,1000,1000
44.0,1000,1000,1000,1000,999,1000,1000,1000,1000
45.0,1000,1000,1000,1000,999,1000,1000,1000,1000
46.0,1000,1000,1000,1000,999,1000,1000,1000,1000
47.0,1000,1000,1000,1000,999,1000,1000,1000,1000
48.0,1000,1000,1000,1000,999,1000,1000,1000,1000
49.0,1000,1000,1000,1000,999,1000,1000,1000,1000
50.0,1000,1000,1000,1000,999,1000,1000,1000,1000
51.0,1000,1000,1000,1000,999,1000,1000,1000,1000
52.0,1000,1000,1000,1000,999,1000,1000,1000,1000
53.0,1000,1000,1000,1000,999,1000,1000,1000,1000
54.0,1000,1000,1000,1000,999,1000,1000,1000,1000
55.0,1000,1000,1000,1000,999,1000,1000,1000,1000
56.0,1000,1000,1000,1000,999,1000,1000,1000,1000
